english,hindi
"Give him some, man.
","थोड़ी दे दो।
"
"Don't come to airport, mom.
","आप एयरपोर्ट मत आना,मॉम.
"
"I need some light.
","मुझे कुछ प्रकाश की जरूरत है.
"
"Glory to Krishnalal Patel!
","Krishnalal पटेल की जय!
"
"Compel her a nanny.
","उसे एक नानी मजबूर।
"
"What in the fucking world?
","क्या बकवास दुनिया में?
"
"© P@rM! NdeR M@nkÖÖ ™
","©@ पीआर एम NDEआरएम @nkÖÖ
"
"I think you can't do...
","मेरा सोचना है कि आप...
"
"It's time to go.
","जाने का समय यह है.
"
"- ( breathes heavily )
","- (भारी साँस लेता है)
"
"It's like a CB nickname.
","वह एक साथी है।
"
"How long does it last?
","कितनी देर यह चलेगा?
"
"How's my little man?
","मेरे छोटे आदमी कैसा है?
"
"I will not die.
","मैं मर नहीं होगा.
"
"I see it differently.
","मैं इसे दूसरे तरीके से देखता हूं.
"
"So, look, what's next?
","तो, आगे क्या?
"
"Slide it on back.
","यह पीठ पर स्लाइड.
"
"Did you use soap?
","आप साबुन का उपयोग करें?
"
"That's not a bad picture.
","फ़ोटो बुरा तो नहीं है।
"
"Sorry to keep you waiting...
","आप इंतज़ार कर रखने के लिए क्षमा करें...
"
"We're going, that's all.
","हम जा रहे हैं... बस
"
"It's what they done!
","यह किया है!
"
"Everyone's on Titan now.
","हर कोई अब टाइटन पर है.
"
"You've already delivered me that.
","- अरे हाँ, माफ करें, मौरीन।
"
"See you later, little prick.
","- पुराने गोल्फ़ के दोस्त।
"
"What you waiting for?
","आप के लिए क्या इंतज़ार कर रहे?
"
"That is not possible.
","यह संभव नहीं है.
"
"I love you, Cassie.
","मैं, Cassie तुमसे प्यार करता हूँ।
"
"- There's more over here.
","- वहाँ पर और भी हैं।
"
"I need some photos done.
","- मुझे कुछ तस्वीरें बनवानी हैं।
"
"We shouldn't be here.
","हम यहाँ नहीं होना चाहिए.
"
"All right, man, look.
","ठीक है, आदमी, देखो.
"
"I'm an old man.
","मैं बूढ़ा आदमी हूँ.
"
"Lannisters don't act like fools.""
","Lannisters मूर्खों की तरह कार्य नहीं करते हैं। ""
"
"What do you see?
","क्या देखती है?
"
"You do a great zombie.
","तुम बढ़िया प्रेत बनते हो.
"
"Something terrible is coming.
","भयानक कुछ.
"
"Don't call me love.
","मुझे जान मत बुलाओ।
"
"Ser Davos, Lord Snow.
","सेर दावोस, प्रभु बर्फ।
"
"Go to your room.
","अपने कमरे में जाओ.
"
"- Out of my control.
","- मेरे नियंत्रण से बाहर.
"
"We're not hoping for arrests.
","हमे आशा है कि गिरफ़्तारियाँ नहीं होंगी.
"
"(Chatter) (Car horn honks)
","(चैटर) (कार सींग honks)
"
"That's why I came here.
","मैं यहाँ आया क्यों यही है.
"
"They attempted contact yet?
","-उन्होंने संपर्क की कोशिश की ?
"
"Because Dad couldn't do it.
","क्योकिं Dad नहीं बचा सके.
"
"Take my guests out.
","मेहमानों को घुमाऊंगा.
"
"[ TRUCK HORN HONKS ]
","[ट्रक सींग honks]
"
"I don't doubt it.
","मुझे इस पर संदेह नहीं।
"
"- What's going on?
","- क्या हो रहा है?
"
"So... you did it.
","तो... तुमने कर दिखाया।
"
"Damn your sorceress soul.
","अपने जादूगरनी आत्मा धिक्कार है.
"
"I too have to go.
","मुझे भी जाना है.
"
"- And here I am.
","- और मैं यहाँ हूँ.
"
"That's how it works.
","कि यह कैसे काम करता है.
"
"Out the way, gentlemen.
","- रास्ते से हटो, सज्जनों।
"
"It's men size 6.
","यह पुरुषों 6 आकार है.
"
"How did you do it?
","तुमने यह कैसे किया?
"
"He's got my parents!
","मम्मी-पापा को कैद कर दिया!
"
"Let's switch it up.
","चलो इसे बदलते हैं।
"
"A guy like you.
","आप की तरह एक आदमी.
"
"Congratulations, it's your wedding day.
","बधाई हो, यह तुम्हारी शादी का दिन है
"
"All Battle Groups, deploy drones.
","सभी लड़ाई समूह, ड्रोन की तैनाती.
"
"Find the ring, bastard!
","ढूँढ अंगूठी बे, कमीने!
"
"Get out of here.
","यहाँ से चले जाओ.
"
"To kal-el I say this.
","कल अल करने के लिए मैं यह कहना है.
"
"- Name a few companies.
","- कुछ कंपनियों के नाम बताए.
"
"OH, YOU DIRTY BASTARD.
","= = ओह, तुम गंदे बास्टर्ड.
"
"I don't wanna get sleepy.
","मैं चाहता हूँ नींद नहीं मिलता है.
"
"OI, WHAT'S YOUR NUMBER?
","ओय, आपका नंबर क्या है?
"
"This is all wrong!
","यह सब गलत है!
"
